date,TLT,XLP,IWM,XLY,RINF,PDBC,VXUS,VTI,SMH,XSW,IGV,IEF,HYG,LQD,KRE,USO,GLD,XAR,SPY
2024-01-02,88.0482406616211,68.10652160644531,194.1991424560547,86.74369812011719,28.6899356842041,12.146895408630371,53.332374572753906,228.3289794921875,167.70257568359375,146.0169677734375,78.85921478271484,87.22880554199219,66.2189712524414,97.91598510742188,49.17768478393555,65.7699966430664,190.72000122070312,131.90757751464844,458.8091735839844
2024-01-03,88.41545867919922,67.57357025146484,189.02099609375,84.99071502685547,28.6899356842041,12.312661170959473,52.99729919433594,226.13897705078125,164.72508239746094,141.7437744140625,77.58744812011719,87.43772888183594,66.03868103027344,97.6932601928711,47.56024169921875,68.19000244140625,189.1300048828125,129.102294921875,455.0622863769531
2024-01-04,87.0720443725586,67.48005676269531,188.65115356445312,84.3933334350586,28.825651168823242,12.257406234741211,53.025230407714844,225.5575714111328,163.75242614746094,141.90353393554688,77.39148712158203,86.9108657836914,65.78114318847656,97.14984130859375,47.793975830078125,67.56999969482422,189.32000732421875,129.6653289794922,453.5964660644531
2024-01-05,86.23910522460938,67.33047485351562,188.09637451171875,84.5255355834961,28.879940032958984,12.321869850158691,53.062461853027344,225.89671325683594,164.83425903320312,141.51414489746094,77.29750061035156,86.59296417236328,65.83265686035156,96.8023910522461,48.364288330078125,69.02999877929688,189.35000610351562,129.2702178955078,454.2177429199219
2024-01-08,87.08995056152344,67.82601928710938,191.48353576660156,85.96515655517578,28.87088966369629,12.119267463684082,53.499916076660156,229.12355041503906,170.67015075683594,145.60760498046875,79.40711212158203,86.88362121582031,66.20183563232422,97.54182434082031,48.813053131103516,66.4000015258789,187.8699951171875,128.93435668945312,460.7021179199219
2024-01-09,86.53466796875,68.00366973876953,189.77047729492188,85.6468734741211,28.735177993774414,12.229778289794922,52.97868728637695,228.69717407226562,171.12669372558594,145.0185546875,79.72905731201172,86.84732055664062,66.30486297607422,97.7110824584961,48.261444091796875,67.38999938964844,187.92999267578125,127.56134033203125,460.00323486328125
2024-01-10,86.13162994384766,67.8634262084961,189.87753295898438,86.33240509033203,28.879940032958984,12.146895408630371,53.21138000488281,229.87937927246094,171.28549194335938,146.90553283691406,80.82284545898438,86.71104431152344,66.42505645751953,97.58634185791016,48.37364196777344,66.55999755859375,187.5,128.57876586914062,462.6047058105469
2024-01-11,86.6152572631836,67.85407257080078,188.38833618164062,86.21977996826172,29.01565170288086,12.220569610595703,53.23930358886719,229.72433471679688,172.25814819335938,146.49618530273438,81.47472381591797,87.17428588867188,66.63970184326172,98.1743392944336,47.737884521484375,67.6500015258789,187.8699951171875,127.8774642944336,462.4008483886719
2024-01-12,86.44508361816406,68.06912231445312,188.07688903808594,85.18169403076172,29.23279571533203,12.266613960266113,53.425453186035156,229.76309204101562,171.6527099609375,146.6559295654297,81.7206802368164,87.41047668457031,66.70836639404297,98.38816833496094,47.11146926879883,68.0199966430664,189.7100067138672,128.98377990722656,462.72119140625
2024-01-16,84.92252349853516,67.69512176513672,185.7506103515625,85.08375549316406,29.458984375,12.17452335357666,52.45746612548828,228.69717407226562,174.38209533691406,145.2881317138672,81.6966781616211,86.70196533203125,66.28767395019531,97.39037322998047,46.31678009033203,67.25,187.91000366210938,126.0599594116211,461.0224304199219
2024-01-17,84.78821563720703,67.64836120605469,184.42689514160156,84.33946990966797,29.44089126586914,12.137686729431152,51.880401611328125,227.32118225097656,173.3300323486328,144.259765625,81.3427505493164,86.42037200927734,66.00433349609375,97.18547058105469,46.12044143676758,67.94000244140625,185.83999633789062,125.90190124511719,458.45977783203125
2024-01-18,84.00006866455078,67.56422424316406,185.5170440673828,84.81934356689453,29.630887985229492,12.229778289794922,52.27131652832031,229.32705688476562,178.95751953125,145.1083984375,82.17259979248047,86.22960662841797,66.14170837402344,96.99839782714844,46.53181838989258,69.05999755859375,187.3699951171875,127.5119857788086,462.53680419921875
2024-01-19,84.26871490478516,67.36785888671875,187.29823303222656,85.63706970214844,29.766605377197266,12.202150344848633,52.53192901611328,232.1177978515625,185.77597045898438,146.82566833496094,83.65831756591797,86.23868560791016,66.25334167480469,97.09636688232422,47.70983123779297,68.81999969482422,187.92999267578125,127.95645904541016,468.3027648925781
2024-01-22,84.77027130126953,67.04060363769531,191.298583984375,85.26004028320312,29.53136444091797,12.266613960266113,52.504005432128906,233.12559509277344,186.6394500732422,150.0904541015625,84.42217254638672,86.50210571289062,66.30486297607422,97.3636474609375,48.76631546020508,69.69000244140625,187.22000122070312,129.5171661376953,469.2930603027344
