ticker,n_obs_total,inflation_n_obs,inflation_corr,inflation_beta,inflation_r2,inflation_signed_score,inflation_score,growth_n_obs,growth_corr,growth_beta,growth_r2,growth_signed_score,growth_score,liquidity_n_obs,liquidity_corr,liquidity_beta,liquidity_r2,liquidity_signed_score,liquidity_score,primary_macro_dimension
A,604,604,-0.014860885622447495,-0.020907344737665767,0.00022084592148346668,-29.477802954457623,35.75309674317129,604,0.4740032516448698,0.43606520671120735,0.22467908256990976,6.479002696459331,53.23246089849248,604,0.3514252185253655,0.3778637247908541,0.12349968421560091,6.728454076959217,57.80027826782577,inflation
AA,604,604,0.20616615769146715,0.5303779525493485,0.0425044845772629,66.43803774142359,91.3911842242878,604,0.46921036880283107,0.7893172835353393,0.22015837019208875,46.75569624143242,73.9732611144103,604,0.329200394967959,0.6472566513529192,0.1083729000470602,49.971749273614016,83.48321314466303,inflation
AAOI,604,604,0.13545613963029096,0.8171611202415003,0.01834836576354088,69.05313419922949,92.90812829145491,604,0.49225779762402655,1.9418582809424436,0.24231773932165707,81.81632450414253,92.02800747608609,604,0.18387004391362793,0.8477505291336127,0.033808193048799465,59.192065293590744,88.95931700788667,growth
AAPL,604,604,-0.03652396390184046,-0.044454224399688616,0.0013339999391029451,-36.42648688471257,31.72236019762012,604,0.5309288016903659,0.4225589887005399,0.28188539246436795,6.132772609427353,53.05416699122693,604,0.3081211273339245,0.28661881742401574,0.09493862910952851,-13.633749961302065,45.706815966090915,inflation
ABAT,604,604,0.0852747996860972,0.47162089461122597,0.007271791461504004,60.41848042287583,87.89940795191096,604,0.30840322461993036,1.1153397144569226,0.09511254895597122,60.11157317915787,80.85097502020638,604,0.191269134881427,0.8084726124213321,0.036583881958289516,57.24997527640549,87.8058764291913,inflation
ABBNY,604,604,0.03406014797409206,0.04157268777730487,0.0011600936800170477,-6.717947730959691,48.95545004368198,604,0.6044861538924721,0.4824628269193197,0.36540351024771345,17.373946603167735,58.842897978694985,604,0.5059027626766077,0.47192905194211654,0.2559376052838241,31.25686124394582,72.36812008093065,liquidity
ABBV,604,604,-0.0356644774692198,-0.04148454657154228,0.001271954953152487,-35.70857417174015,32.13880121547881,604,0.09469460878508172,0.07202639240770035,0.008967068932959676,-49.71743472426817,24.293663325941694,604,0.16329767690967906,0.1451705685428176,0.02666613128409793,-44.565004588584515,27.336213202386173,growth
ABCL,604,604,-0.031136404545967937,-0.10747320773656197,0.0009694756880501729,-50.819932889267605,23.373126096703263,604,0.41317032681964766,0.9325600360180756,0.17070971896425446,54.56149053921676,77.9929162997626,604,0.2902887798824202,0.7657907023514677,0.0842675757256242,57.68920782498523,88.0667441750386,liquidity
ABSI,604,604,-0.019495512684299485,-0.08994997971679722,0.0003800750148236821,-46.69821595982349,25.764018418858115,604,0.4466956544841496,1.3477025908065032,0.19953700773502275,73.06821034080767,87.52309726231272,604,0.36095256235021017,1.272813073406823,0.13028675226718237,77.0830751319928,99.58509467979916,liquidity
ABT,604,604,-0.0686620624394005,-0.0684974753706536,0.004714478818432133,-44.01692879913563,27.319357855243332,604,0.08039459374528377,0.05244456552272561,0.0064632907034692195,-51.73116276388862,23.256678229031415,604,0.20216315489011694,0.1541373243830338,0.04086994119512541,-41.4163530709094,29.206251355365794,growth
ACGL,604,604,0.03762878424539671,0.04110515915747884,0.0014159254037866154,-7.280876149294717,48.62891106578534,604,0.05265762032670641,0.03761432758444712,0.002772824978471564,-53.94005207163406,22.11919330167835,604,0.082943100779596,0.06924756450568889,0.006879557966934219,-53.980589356312024,21.744135879943986,liquidity
ACHR,604,604,0.0074755466989685415,0.030214091533492263,5.5883798448459456e-05,-13.701318828499065,44.90459244582243,604,0.4820714693191007,1.2740719000705227,0.23239290153147668,72.38043793410505,87.16892345046513,604,0.32841696203855747,1.0144724332334698,0.1078577009546353,71.12951430627015,96.04917276920081,growth
ACLS,604,604,0.03958465149723329,0.10118423773367724,0.0015669446341574137,14.110330527270893,61.0373497528948,604,0.6091978925697078,1.0182639235441906,0.37112207231137323,66.92510084311436,84.35965469585936,604,0.28266098842710907,0.5522045755782155,0.0798972343785903,35.41165311346733,74.83572224969389,growth
ACN,604,604,0.027528072775132546,0.040019099353541136,0.0007577947907129937,-8.047099463452373,48.18444642392972,604,0.32749894876030283,0.3113273961912834,0.10725556143910346,-16.807378063230676,41.24095592181834,604,0.1711768545477651,0.19018866654702146,0.02930151553286673,-36.723095805113935,31.993657360609184,liquidity
ADBE,604,604,0.029868727393233298,0.04657992888562047,0.0008921408760912852,-5.213853800496096,49.827932723037186,604,0.3936258916165566,0.4014039906548951,0.15494134255092915,-2.662247232573958,48.5251023291961,604,0.17123368728022337,0.2040889069786888,0.02932097565958133,-34.24491618328742,33.46549075237622,liquidity
ADCT,604,604,0.043921121843801425,0.18779816728341034,0.0019290649440180507,33.93406466135845,72.53654160642688,604,0.30130876944897506,0.8424528881036331,0.09078697454685561,45.96908735399454,73.56819067921688,604,0.18820685933437278,0.6150373095692213,0.03542182190050838,41.32268981215278,78.34638835172298,growth
ADI,604,604,0.10988458118152902,0.17695625588142552,0.012074621181440042,34.59199208738527,72.91818684270827,604,0.6452868631994647,0.6795132252214614,0.4163951358178047,43.56387619081725,72.32960826785651,604,0.3281800609668182,0.40391449987977573,0.1077021524161845,12.930746578283076,61.48392618767531,growth
ADM,604,604,0.13915657911377166,0.1798189277867606,0.019364553510647392,36.44190884041058,73.99127163653236,604,0.0819034759730581,0.06920698343404512,0.006708179376469304,-50.71538892295355,23.779758959972376,604,0.11928135706015575,0.11780190682449382,0.014228042142112367,-48.444200121942174,25.032292425658458,growth
ADP,604,604,0.001940043091863072,0.001842227335333629,3.7637671982856285e-06,-22.836860396546697,39.60532115483705,604,0.2356184190852328,0.146304272790735,0.05551603941222439,-39.144889723551245,29.738078553046137,604,0.12610728291547071,0.09152086228846085,0.01590304680432257,-50.68148319319662,23.703531627972456,liquidity
ADPT,604,604,-0.056922155851503675,-0.20639514984137178,0.003240131826782874,-59.83883630136347,18.141513326744214,604,0.39419789640419417,0.9346486353072081,0.1553919815294918,54.3101538873743,77.8634885135174,604,0.2817181331443164,0.7806943534422606,0.07936510654231876,58.35219815211457,88.46050550423891,inflation
ADSK,604,604,0.023503528359518917,0.03369817481372387,0.0005524158453467101,-11.351979682020014,46.26737815469259,604,0.5142279067784025,0.4821086054283362,0.2644303401096974,14.077341816609163,57.14528540797831,604,0.2357860937026833,0.25836851665952615,0.05559508198357055,-21.943253916173283,40.771659013752824,liquidity
ADYEY,604,604,-0.02274185873378578,-0.039509558429841704,0.0005171921386674685,-34.70601796573542,32.720355935634885,604,0.5309221059772322,0.6031466962101052,0.2818782826152994,30.61931074624016,65.66370245143042,604,0.4039981763508274,0.5364184565415835,0.16321452649479423,37.04469807704087,75.80561566923262,liquidity
AEHR,604,604,0.060374782482842865,0.2987502273201537,0.0036451143598505895,48.679254953037066,81.08981269722966,604,0.49226753741568535,1.5928313282375335,0.24232732839330318,79.47804105822624,90.82389001927984,604,0.2945410791950923,1.1139010879537639,0.08675444733340965,72.55761502050548,96.89734628314032,growth
AEIS,604,604,0.0507946641859839,0.11016566253491784,0.002580097909766875,16.56617303486922,62.46191507272385,604,0.7068964500710392,1.002535786928225,0.4997025911230372,69.38158739269801,85.6246417708563,604,0.36936978119742986,0.6122624265759252,0.1364340352618372,47.25069366466137,81.86713153748732,growth
AER,604,604,0.06910566608641484,0.08214367179298286,0.004775593085247067,11.841978736304943,59.72154253619247,604,0.5318748485728003,0.41341462350087815,0.28289085454433927,4.515090599518906,52.22112891318977,604,0.37298517736005554,0.33884424705617294,0.1391179425303121,-1.596312443191708,52.85605661613142,inflation
AES,604,604,-0.00929145882448167,-0.01752983413223112,8.633120708703828e-05,-28.319910053565856,36.42475792078474,604,0.28159146468564716,0.3473995994595762,0.07929375298380807,-13.599325191028806,42.89296798755914,604,0.2781010793425457,0.401000268719593,0.0773402103314889,10.490151533602857,60.034414921056964,inflation
AEVA,604,604,0.06006091346293484,0.31495189375286725,0.003607313326002147,50.73176160083235,82.28041420368668,604,0.4108555491344397,1.4088260534739685,0.168802282254562,73.73973257949375,87.86890292229276,604,0.2234603048633581,0.8955725362179819,0.04993450784962494,63.1914810405879,91.33463863193052,growth
