date,inflation_score,inflation_score_ema5,inflation_pct_rank,growth_score,growth_score_ema5,growth_pct_rank,liquidity_score,liquidity_score_ema5,liquidity_pct_rank
2024-01-02,0.7996369437041289,0.3460776924530221,0.828125,-2.653674690934361,-1.2916373899363556,0.09375,-2.9738151177916916,-1.4410367933720223,0.0390625
2024-01-03,-0.03033628335664093,0.22060636718313445,0.5193798449612403,-2.799607181851304,-1.7942939872413386,0.08527131782945736,-1.6646744946652015,-1.515582693803082,0.17829457364341086
2024-01-04,0.5790551055806175,0.34008927998229543,0.7153846153846154,-1.1488943940007736,-1.579160789494484,0.27692307692307694,-1.1876136226203486,-1.4062596700755043,0.24615384615384617
2024-01-05,0.8504796688170112,0.5102194095938674,0.8396946564885496,-0.17106819516806182,-1.1097965913856767,0.45038167938931295,-0.11480928776856685,-0.9757762093065253,0.4961832061068702
2024-01-08,-1.5947410637773078,-0.19143408152985764,0.10606060606060606,3.335685598346638,0.37203080519176146,0.9696969696969697,1.34196957928259,-0.20319427977682025,0.7424242424242424
2024-01-09,-0.0048146176271569585,-0.12922759356229074,0.518796992481203,-0.5993558133271253,0.048235265685465906,0.3533834586466165,-0.7370015259255078,-0.38113002849304944,0.3533834586466165
2024-01-10,-0.03576956344398052,-0.09807491685618734,0.5,0.7804891606992678,0.29231989735673314,0.6567164179104478,0.4286955505477095,-0.11118816881279653,0.6417910447761194
2024-01-11,-0.048897373224252555,-0.08168240231220908,0.4962962962962963,-0.5192080265408505,0.021810589390871937,0.362962962962963,0.19817744202591475,-0.008066298533226116,0.5555555555555556
2024-01-12,1.4394278721160818,0.42535435583055453,0.9191176470588235,-0.3418146819878244,-0.09939783440202683,0.3897058823529412,-0.4112904639321328,-0.142474353666195,0.4485294117647059
2024-01-16,0.05922390635597585,0.3033108726723617,0.5401459854014599,-1.1036806573373739,-0.4341587753804758,0.27007299270072993,-3.7345831550502835,-1.3398439541275577,0.014598540145985401
2024-01-17,-0.638053759069223,-0.010477337908166517,0.2753623188405797,-1.5658339013164628,-0.8113838173591381,0.2318840579710145,-1.5126277505817618,-1.397438552945626,0.18840579710144928
2024-01-18,1.4649432052525184,0.4813295098120618,0.920863309352518,1.7558135199453577,0.04434862840902709,0.8273381294964028,-0.1138482477184802,-0.9695751178699108,0.5035971223021583
2024-01-19,0.26541814902492067,0.4093590562163481,0.6,2.6941065685908665,0.9276012751363069,0.9142857142857143,0.3650118887816375,-0.5247127823193948,0.6285714285714286
2024-01-22,-0.3919412716360873,0.142258946932203,0.3404255319148936,0.5145669200518309,0.789923156774815,0.6170212765957447,-0.2446986732218975,-0.4313747459535624,0.46808510638297873
2024-01-23,1.2377773790626505,0.5074317576423522,0.8873239436619719,-0.069533935981762,0.5034374591892894,0.4859154929577465,-1.2061464331673943,-0.6896319750248397,0.23943661971830985
2024-01-24,0.7752308514616191,0.5966981222487744,0.7972027972027972,-0.2777052732153308,0.24305654838774937,0.4195804195804196,0.13964897190846987,-0.4132049927137366,0.5594405594405595
2024-01-25,0.7992301888144004,0.6642088111039831,0.8125,0.00998794803128808,0.1653670149355956,0.5,0.7735190642959332,-0.017630307043846716,0.6944444444444444
2024-01-26,0.6008215168592144,0.6430797130223935,0.7103448275862069,-1.521875967923451,-0.39704731268408655,0.22758620689655173,-0.5497906069523804,-0.1950170736800246,0.4206896551724138
2024-01-29,-0.4406735086726522,0.28182863912404504,0.3150684931506849,1.7101634682128652,0.30535628094823064,0.821917808219178,0.12356908411157674,-0.08882168774949084,0.5547945205479452
2024-01-30,-0.1396938833091647,0.1413211316463085,0.42857142857142855,-1.8170672602664448,-0.4021182327899945,0.1836734693877551,-0.5083726094425265,-0.22867199498050272,0.43537414965986393
2024-01-31,-1.5874030458898374,-0.4349202608657401,0.10135135135135136,-4.791541484127082,-1.8652593165690237,0.006756756756756757,-1.5725057694786209,-0.6766165864798754,0.16891891891891891
2024-02-01,-0.9375188043745569,-0.6024531087020124,0.20134228187919462,2.269911845413868,-0.48686892924139347,0.9060402684563759,2.4075300777613866,0.35143230160054517,0.8993288590604027
2024-02-02,1.5451721779633938,0.11342198685312294,0.9266666666666666,1.9202077438307652,0.3154899617826593,0.8533333333333334,-3.427458886693782,-0.9081980944975638,0.02
2024-02-05,1.3508595273082629,0.5259011670048362,0.9006622516556292,-1.2146003094190316,-0.19454012861790426,0.24503311258278146,-2.583190311475174,-1.4665288334901008,0.059602649006622516
2024-02-06,-0.32519216853406746,0.2422033884918684,0.35526315789473684,-0.2609888640383818,-0.2166897070913968,0.4276315789473684,1.3413172604554349,-0.5305801355082557,0.7631578947368421
2024-02-07,0.5848344154596811,0.35641373081447264,0.6993464052287581,1.2081478311882594,0.25825613900182187,0.7450980392156863,0.4017172711329471,-0.2198143332945215,0.6535947712418301
2024-02-08,0.9805566930367743,0.5644613848885732,0.8376623376623377,0.1574558662462805,0.22465604808330808,0.5909090909090909,-0.6268405102292101,-0.3554897256060844,0.38961038961038963
2024-02-09,-0.6954146779741279,0.14450269726767287,0.24516129032258063,1.6566781481162025,0.7019967480942728,0.8129032258064516,0.444456834750536,-0.08884087215387762,0.6709677419354839
2024-02-12,0.27458496443597596,0.18786345299044058,0.5897435897435898,-0.46577453468479435,0.31273965383458385,0.36538461538461536,-1.0230846496303971,-0.4002554646460508,0.27564102564102566
2024-02-13,0.3110908031078883,0.22893923636292315,0.6050955414012739,-4.701563645724532,-1.358694779351788,0.012738853503184714,-4.1720447343305365,-1.6575185545408793,0.006369426751592357
2024-02-14,-0.49986888045918265,-0.013996802577778772,0.310126582278481,2.410910276467928,-0.10215976074521615,0.9177215189873418,1.3482786998805767,-0.6555861364003941,0.7784810126582279
2024-02-15,1.2542985088415808,0.40876830122867436,0.8867924528301887,1.2675355493940683,0.3544053426345453,0.7484276729559748,1.7724285988210355,0.15375210867341566,0.8490566037735849
