ticker,cash,totalDebt,netCash,currentRatio,quickRatio,debtToEquity,freeCashFlow,sharesOutCurrent,sharesOut1Y,sharesOut3Y,shareCountGrowth1Y,shareCountGrowth3Y,stockBasedComp,revenue,sbcToRevenue,balanceSheetRiskScore,dilutionRiskScore
AI,621923008.0,60250000.0,561673008.0,6.581,6.268,8.374,11594375.0,141791230.0,123705923.0,106225033.0,0.14619596670403567,0.3348193546807371,230988000.0,389056000.0,0.5937140154630696,85.0,90.0
AIG,9592999936.0,9155999744.0,437000192.0,0.611,0.204,22.647,9517249536.0,530206221.0,606159452.0,734128056.0,-0.1253023948556691,-0.2777742021073228,,26774000000.0,,57.0,5.0
AIR,78500000.0,979699968.0,-901199968.0,2.701,0.991,59.614,27900000.0,39764268.0,35693966.0,35391084.0,0.11403333549429615,0.12356739341468037,19900000.0,2780500000.0,0.0071569861535695015,65.0,53.3
AKLI,,,,,,,,,,,,,,,,,
ALAB,1188816000.0,30974000.0,1157842000.0,10.238,9.561,2.271,206811376.0,171281952.0,162018000.0,152503000.0,0.05717853571825353,0.12313824646072537,160033000.0,852525000.0,0.18771648925251458,85.0,73.3
ALB,1618001024.0,3321211904.0,-1703210880.0,2.229,1.325,33.954,453286368.0,117886887.0,117559774.0,117168000.0,0.0027825249136664725,0.006135523351085621,40271000.0,5142733000.0,0.007830661245683958,69.0,11.7
ALLO,250210000.0,83253000.0,166957000.0,7.927,7.742,28.458,-80727000.0,345024351.0,212210597.0,144438304.0,0.6258582553254869,1.3887316691284328,37642000.0,0.0,,72.0,90.0
ALLY,9518000128.0,21475000320.0,-11957000192.0,,,,,307408000.0,305220495.0,299324357.0,0.007166966294317818,0.027006298722292085,,8770000000.0,,40.0,15.0
ALNY,3009222912.0,2970230016.0,38992896.0,3.127,2.885,276.203,204714128.0,133512573.0,129294000.0,123925000.0,0.03262775534827602,0.07736593100665726,348235000.0,3713937000.0,0.09376437995582586,85.0,56.7
ALTR,,,,,,,,,,,,,,,,,
AMAT,8511000064.0,7190000128.0,1320999936.0,2.715,1.74,33.108,4341749760.0,793609867.0,818000000.0,844000000.0,-0.029816788508557457,-0.0597039490521327,668000000.0,28368000000.0,0.023547659334461363,85.0,10.0
AMBA,312571008.0,13435000.0,299136008.0,2.306,1.977,2.259,86872624.0,43788879.0,41963959.0,39043000.0,0.04348779389475621,0.12155518274722742,98040000.0,390702000.0,0.250932936099636,85.0,73.3
AMD,10552000512.0,4006000128.0,6546000384.0,2.85,1.784,6.359,4587250176.0,1630338779.0,1622000000.0,1612000000.0,0.005141047472256474,0.01137641377171216,1638000000.0,34639000000.0,0.04728773925344265,85.0,25.0
AME,481249984.0,2455633920.0,-1974383936.0,1.138,0.608,22.489,1385356544.0,229203002.0,230699421.0,230050658.0,-0.006486444541185043,-0.0036846493175429216,47767000.0,7401116000.0,0.006454026663005957,52.0,5.0
AMGN,12037999616.0,57322999808.0,-45285000192.0,1.261,0.849,623.754,7436624896.0,540000000.0,537000000.0,534000000.0,0.00558659217877095,0.011235955056179775,494000000.0,36751000000.0,0.013441811107180757,58.0,16.7
AMP,8341000192.0,3279000064.0,5062000128.0,9.055,8.656,52.785,,90100000.0,96166693.0,105278990.0,-0.06308517856593031,-0.14417871979964852,206000000.0,18480000000.0,0.011147186147186147,81.2,10.0
AMRN,307822016.0,5585000.0,302237016.0,3.485,2.315,1.243,6336500.0,20969109.0,411584851.0,404346256.0,-0.9490527677365851,-0.948140711855633,13937000.0,213646000.0,0.06523407880325398,91.0,26.7
AMRX,286465984.0,2689046016.0,-2402580032.0,2.168,1.391,45095.523,197065376.0,319001893.0,309881000.0,151490000.0,0.029433534163114228,1.1057620503003498,31953000.0,3018760000.0,0.010584809656945237,69.0,48.3
AMT,1608800000.0,45131198464.0,-43522398464.0,0.304,0.264,444.55,4614362624.0,465893069.0,467384103.0,465618791.0,-0.0031901684084449915,0.0005890612778125615,174200000.0,10644600000.0,0.0163651053116134,45.0,13.3
AMZN,143088992256.0,235540004864.0,-92451012608.0,1.177,0.974,53.3,9806624768.0,10757109436.0,10593000000.0,10242000000.0,0.015492252997262344,0.050293832845147435,19467000000.0,716924000000.0,0.027153505810936725,58.0,30.0
ANET,10743000064.0,90500000.0,10652500064.0,3.048,2.349,0.732,3387962624.0,1259169438.0,1261334000.0,1227560000.0,-0.0017160894735256482,0.02574981100720128,439200000.0,9005700000.0,0.048769112895166396,91.0,21.7
ANSS,,,,,,,,,,,,,,,,,
AON,1243000064.0,15473999872.0,-14230999808.0,1.066,0.261,155.05,3341625088.0,213576949.0,216000000.0,205400000.0,-0.011217828703703704,0.039809878286270695,432000000.0,17181000000.0,0.025144054478784705,52.0,20.0
AOS,203900000.0,656899968.0,-452999968.0,1.558,0.954,34.981,495612512.0,111965465.0,144319615.0,151179079.0,-0.22418400991438342,-0.2593851891371821,13800000.0,3830200000.0,0.0036029450159260614,62.0,5.0
APA,516000000.0,4809999872.0,-4293999872.0,0.825,0.614,68.685,1960875008.0,353400414.0,365397149.0,311559149.0,-0.03283204325165657,0.13429637721856788,,8920000000.0,,45.0,35.0
APD,954200000.0,18442199040.0,-17487999040.0,1.427,0.985,101.611,-3519237376.0,222680686.0,222372418.0,221838696.0,0.0013862690470901836,0.0037955055415579975,76400000.0,12037300000.0,0.006346938266887093,45.0,11.7
APP,2487096064.0,3667394048.0,-1180297984.0,3.322,3.229,171.801,2699187200.0,306053394.0,340041739.0,373873683.0,-0.09995345012630935,-0.18139893788673006,210421000.0,5480717000.0,0.03839296938703458,73.0,18.3
APPHQ,,,,,,,,,,,,,,,,,
APTV,1851000064.0,8094000128.0,-6243000064.0,1.736,1.168,85.209,1300749952.0,213141325.0,235035739.0,270949579.0,-0.0931535522774262,-0.2133542861123988,139000000.0,20398000000.0,0.006814393567996862,66.0,5.0
ARAY,41295000.0,174226000.0,-132931000.0,1.466,0.602,326.144,-803500.0,118782630.0,100194932.0,93499500.0,0.18551535121556847,0.27040925352541995,10201000.0,458505000.0,0.02224839423779457,39.0,66.7
ARBE,44795000.0,26787000.0,18008000.0,2.181,1.405,67.697,-11551125.0,122649743.0,85749331.0,64160890.0,0.4303288616910609,0.9115966595849901,9806000.0,1026000.0,9.557504873294347,68.0,90.0
ARCC,554000000.0,15880999936.0,-15326999936.0,0.376,0.322,112.911,909374976.0,718022845.0,672000000.0,519000000.0,0.06848637648809523,0.38347368978805396,,1506000000.0,,45.0,77.5
ARGT,,,,,,,,,,,,,,,,,
ARKG,,,,,,,,,,,,,,,,,
ARKK,,,,,,,,,,,,,,,,,
ARKQ,,,,,,,,,,,,,,,,,
ARKW,,,,,,,,,,,,,,,,,
ARKX,,,,,,,,,,,,,,,,,
ARM,3542000128.0,461000000.0,3081000128.0,5.427,5.254,5.912,824750016.0,1061998569.0,1040330497.0,1026054856.0,0.020828065756491997,0.03503098571174249,820000000.0,4007000000.0,0.20464187671574743,85.0,53.3
ARQQ,36978000.0,719000.0,36259000.0,2.686,2.629,2.64,-11289250.0,15651859.0,11545354.0,4877046.0,0.35568463297011077,2.2092908289157003,5676000.0,530000.0,10.709433962264152,72.0,90.0
ARVN,685400000.0,8900000.0,676500000.0,4.917,4.855,2.051,-89012496.0,64517472.0,68800000.0,53200000.0,-0.062246046511627906,0.21273443609022558,44000000.0,262600000.0,0.16755521706016754,72.0,61.7
ARWR,914710016.0,698163008.0,216547008.0,3.38,3.263,124.074,170725872.0,140032190.0,124376000.0,105960000.0,0.12587790248922623,0.32155709701774254,63366000.0,829448000.0,0.07639538584697293,85.0,83.3
ASML,8376300032.0,2705600000.0,5670700032.0,1.36,0.691,12.989,8243274752.0,385417665.0,393283720.0,394589411.0,-0.020000967749186263,-0.023243771232370956,202300000.0,32667300000.0,0.006192737079587233,64.0,5.0
ASTS,2335683072.0,2239510016.0,96173056.0,16.353,15.787,93.612,-1240983040.0,298678735.0,208173198.0,71819926.0,0.4347607562814114,3.1587168302011337,47490000.0,70918000.0,0.6696466341408387,72.0,90.0
ASX,87810998272.0,256956006400.0,-169145008128.0,1.147,0.726,67.417,-97319165952.0,2193945789.0,4341989537.0,4295043000.0,-0.49471416955190145,-0.48919119342926254,2481787000.0,645387710000.0,0.0038454202978237687,39.0,5.0
ASYS,22078000.0,19098000.0,2980000.0,2.895,1.831,35.304,13408000.0,14406485.0,14258879.0,13994154.0,0.010351865669103441,0.029464517826515272,1229000.0,79364000.0,0.015485610604304218,85.0,23.3
ATEC,160806000.0,596092032.0,-435286032.0,2.057,1.217,1654.478,56146000.0,153702057.0,144129000.0,106639647.0,0.06642006119517932,0.4413218847207924,73719000.0,764155000.0,0.09647126564636756,69.0,75.0
ATI,401700000.0,1827900032.0,-1426200032.0,2.672,1.076,96.904,340800000.0,136470427.0,141387049.0,128273042.0,-0.034774203399633864,0.06390575036023548,29000000.0,4587400000.0,0.0063216636874918256,69.0,15.0
AUTO,,,,,,,,,,,,,,,,,
AVAV,587137024.0,826012992.0,-238875968.0,5.51,4.396,19.335,-304053504.0,50605071.0,28134438.0,24951287.0,0.798687821665391,1.0281547400741293,21461000.0,820627000.0,0.026151954542075754,60.0,66.7
AVGO,14174000128.0,66056998912.0,-51882998784.0,1.902,1.671,82.704,25503750144.0,4734668184.0,4686000000.0,4180000000.0,0.010385869398207426,0.13269573779904306,7568000000.0,63887000000.0,0.11845915444456619,70.0,63.3
AVNT,510500000.0,2000400000.0,-1489900000.0,1.655,1.117,83.829,335049984.0,91709812.0,91400000.0,90900000.0,0.003389628008752735,0.008908822882288229,9100000.0,3260200000.0,0.002791239801239188,66.0,11.7
AVUV,,,,,,,,,,,,,,,,,
AWK,183000000.0,15708999680.0,-15525999680.0,0.37,0.275,142.33,-1896625024.0,195280521.0,194920485.0,181858062.0,0.0018470916486792038,0.07380733552521856,,5140000000.0,,32.0,25.0
AXON,1733777024.0,1916653952.0,-182876928.0,2.526,2.104,59.107,230031120.0,80572201.0,76619331.0,71474581.0,0.05159102733486409,0.12728469160245934,634231000.0,2779536000.0,0.22817873198979974,73.0,73.3
AXSM,305105984.0,216707008.0,88398976.0,1.392,1.266,396.994,,51459766.0,48667587.0,43498617.0,0.05737245612773035,0.18302073833749702,93752000.0,638496000.0,0.1468325565077933,67.5,81.7
AYRO,,,,,,,,,,,,,,,,,
AZN,7674999808.0,34029000704.0,-26354000896.0,0.909,0.701,71.815,6538874880.0,1550283527.0,1550103897.0,1549800030.0,0.00011588255493560636,0.0003119737970323823,,58739000000.0,,45.0,15.0
AZO,313977984.0,12843607040.0,-12529629056.0,0.89,0.102,,853699648.0,16476820.0,16926000.0,19126000.0,-0.026537870731419118,-0.1385119732301579,124717000.0,18938717000.0,0.0065852929741756,50.0,5.0
B,6705999872.0,5210999808.0,1495000064.0,2.922,2.239,14.509,4054125056.0,1675508360.0,1727100407.0,1755349661.0,-0.029872060009305527,-0.04548455659513185,270000000.0,16956000000.0,0.01592356687898089,85.0,10.0
BA,20177999872.0,49614000128.0,-29436000256.0,1.176,0.317,828.696,2554249984.0,788302331.0,749216319.0,597589776.0,0.05216919467553669,0.3191362413804081,426000000.0,89463000000.0,0.0047617450789711946,52.0,53.3
BABA,338109988864.0,286528995328.0,51580993536.0,1.331,0.735,25.908,-26119874560.0,2399048744.0,19469126956.0,21357323112.0,-0.8767767681919265,-0.8876709065354706,13970000000.0,996347000000.0,0.014021219514887885,51.0,10.0
BAC,845198983168.0,799901024256.0,45297958912.0,,,,,7096590651.0,7610862311.0,7996777943.0,-0.06757074809469642,-0.11256874936585944,4001000000.0,113097000000.0,0.035376712025960017,100.0,18.3
BAK,11836999680.0,71315996672.0,-59478996992.0,0.757,0.46,,-5425999872.0,172530183.0,796968412.0,796303031.0,-0.7835169118346437,-0.7833360212338562,,70717000000.0,,33.8,5.0
BASFY,3180000000.0,23669000192.0,-20489000192.0,1.913,1.042,66.724,-1570625024.0,3537300868.0,892522164.0,893854929.0,2.963263894923286,2.957354547406652,,59656000000.0,,53.0,90.0
BATT,,,,,,,,,,,,,,,,,
BAX,2016999936.0,9687000064.0,-7670000128.0,1.854,1.025,161.021,900875008.0,516469008.0,510927308.0,504432350.0,0.010846357032065313,0.023861788404332118,117000000.0,11244000000.0,0.01040554962646745,66.0,23.3
BBAI,287587008.0,114812000.0,172775008.0,1.782,1.696,18.764,-46986124.0,478949450.0,251554378.0,117069560.0,0.9039599064342263,3.091152730052116,23330000.0,127672000.0,0.18273388056895795,69.0,90.0
BBAR,2924449628160.0,2795989630976.0,128459997184.0,,,,,204236693.0,612710079.0,612710079.0,-0.6666666666666666,-0.6666666666666666,,3054315449000.0,,100.0,5.0
BBEU,,,,,,,,,,,,,,,,,
BBIO,587481984.0,1862472960.0,-1274990976.0,2.77,2.524,,-325290624.0,193862871.0,190044473.0,150625572.0,0.020092128646119586,0.2870515173877647,133024000.0,502076000.0,0.2649479361690262,68.8,71.7
BCE,320000000.0,41059000320.0,-40739000320.0,0.576,0.418,176.143,3317874944.0,932525817.0,912283103.0,911982866.0,0.022189070403072015,0.022525588764734535,,24468000000.0,,45.0,25.0
BDSX,18987000.0,75027000.0,-56040000.0,1.865,1.607,,-11825250.0,10108580.0,7274578.0,3880717.0,0.3895761376123811,1.6048227685760132,4139000.0,88499000.0,0.0467688900439553,65.0,75.0
BE,2491432960.0,2952817920.0,-461384960.0,5.026,3.979,311.476,265521248.0,284443868.0,229142474.0,205664690.0,0.24134065166809712,0.38304668633200967,139406000.0,2023994000.0,0.0688766863933391,73.0,83.3
BEAM,1245209984.0,154123008.0,1091086976.0,13.088,12.846,12.446,-220311120.0,102745693.0,83633069.0,71277339.0,0.22852950667157748,0.4414917060806661,94244000.0,139743000.0,0.6744094516362179,72.0,90.0
BEEM,969000.0,1498000.0,-529000.0,1.738,0.76,6.029,-2058250.0,21136983.0,14835630.0,10178306.0,0.42474455078752976,1.0766700274092762,2966000.0,28236000.0,0.105043207253152,49.0,90.0
BFLY,137954000.0,19757000.0,118197000.0,4.025,2.739,10.332,8860375.0,235213969.0,215053091.0,200886893.0,0.09374837583710899,0.17087762913432086,23435000.0,97610000.0,0.24008810572687225,85.0,90.0
BGM,14541786.0,1782646.0,12759140.0,,,0.972,,180623358.0,7150000.0,7150000.0,24.26200811188811,24.26200811188811,0.0,25097951.0,0.0,77.5,61.7
BHP,13509000192.0,29195999232.0,-15686999040.0,1.649,1.232,52.639,8137124864.0,2540345092.0,5070273143.0,5064769510.0,-0.4989727337456778,-0.4984282923469108,,51262000000.0,,66.0,5.0
BHVN,319136992.0,284614016.0,34522976.0,3.177,2.753,546.578,-358118432.0,150560990.0,101221989.0,68190479.0,0.4874336247235766,1.20794738808038,112361000.0,0.0,,72.0,90.0
BIDU,115267002368.0,97077002240.0,18190000128.0,1.76,1.53,33.506,16792375296.0,274750119.0,2763574692.0,2796585392.0,-0.9005816199593422,-0.9017551476218253,3605000000.0,129079000000.0,0.027928632852749092,82.0,10.0
BIIB,4282700032.0,6561900032.0,-2279200000.0,3.065,2.025,35.181,1915987456.0,147637117.0,145719340.0,144000000.0,0.013160758208210386,0.025257756944444446,290800000.0,9890600000.0,0.029401654095808142,73.0,23.3
BILL,2241499904.0,1887090048.0,354409856.0,1.654,0.687,49.571,122548376.0,98960440.0,106645577.0,104731000.0,-0.07206240723888624,-0.055098872349161186,242532000.0,1462570000.0,0.16582590918725257,68.0,33.3
BINC,,,,,,,,,,,,,,,,,
BIOX,16612427.0,258452784.0,-241840357.0,0.945,0.624,89.638,-423547.0,63815891.0,60590467.0,45870346.0,0.053233192607675395,0.391223231671285,4386688.0,333343987.0,0.013159643404637144,32.0,58.3
BITD,,,,,,,,,,,,,,,,,
BITF,573462000.0,683778000.0,-110316000.0,,,,,602851137.0,479332885.0,224200000.0,0.2576878321210947,1.688898916146298,14984000.0,229276000.0,0.06535354768924789,40.0,83.3
BITO,,,,,,,,,,,,,,,,,
BITX,,,,,,,,,,,,,,,,,
BKNG,16024000512.0,19175999488.0,-3151998976.0,1.057,0.987,,7075125248.0,774878436.0,823671625.0,946574250.0,-0.05923864258405162,-0.1813865251458087,617000000.0,26917000000.0,0.022922316751495336,66.2,10.0
BKRKY,126392161000000.0,171647601000000.0,-45255440000000.0,,,,,3031180032.0,150649123304.0,151070680004.0,-0.9798792056301364,-0.9799353519033625,,186876558000000.0,,40.0,5.0
BKSY,124451000.0,209464992.0,-85013992.0,3.478,3.148,220.78,-37823876.0,37109026.0,30663000.0,14645000.0,0.2102216351955125,1.5339041311027655,14232000.0,106575000.0,0.13353976073187895,60.0,90.0
BLDP,531254016.0,22140000.0,509114016.0,9.861,9.107,3.753,-46120124.0,301475849.0,299438116.0,298394203.0,0.006805189089554651,0.010327432533935654,6339000.0,99370000.0,0.06379188890007044,72.0,33.3
BLFS,88927000.0,17897000.0,71030000.0,5.943,4.216,4.812,12438375.0,48857415.0,46906765.0,42832231.0,0.041585685987937986,0.14066939450340563,22993000.0,96214000.0,0.23897769555366163,85.0,73.3
BLK,14257000448.0,14995999744.0,-738999296.0,,,24.367,,155364965.0,154947813.0,149756492.0,0.0026922096667476034,0.037450616832023546,1307000000.0,24216000000.0,0.05397258011232243,32.5,31.7
BLOX,,,,,,,,,,,,,,,,,
BLV,,,,,,,,,,,,,,,,,
BMA,2635059953664.0,1518502412288.0,1116557541376.0,,,,,62815463.0,639413408.0,647052567.0,-0.9017607979218353,-0.9029206185036277,,5949817365000.0,,100.0,5.0
BMNR,879577024.0,1325000.0,878252024.0,54.185,53.846,0.013,-152525936.0,569576819.0,2495630.0,2430345.0,227.22967306852377,233.3604792735188,2425000.0,6095000.0,0.3978671041837572,87.0,90.0
BMRN,1560609024.0,642873024.0,917736000.0,5.209,3.253,10.561,402657984.0,193270028.0,190761349.0,186250719.0,0.013150876805762157,0.037687419612055295,181409000.0,3221253000.0,0.0563162843775388,85.0,38.3
BMY,10485999616.0,46428999680.0,-35943000064.0,1.42,1.178,230.967,9851750400.0,2042071247.0,2029000000.0,2075000000.0,0.006442211434204041,-0.015869278554216867,553000000.0,48195000000.0,0.011474219317356572,62.0,13.3
BND,,,,,,,,,,,,,,,,,
BNDX,,,,,,,,,,,,,,,,,
BNGO,19269000.0,16894000.0,2375000.0,1.978,1.067,38.029,-4575125.0,11092000.0,1865400.0,495304.0,4.946177763482363,21.39432752410641,4534000.0,28508000.0,0.15904307562789394,65.0,90.0
BOTT,,,,,,,,,,,,,,,,,
BOTZ,,,,,,,,,,,,,,,,,
BP,35762999296.0,74178002944.0,-38415003648.0,1.219,0.68,96.384,10053125120.0,2574997293.0,15850481411.0,18157212000.0,-0.8375445372143089,-0.8581832225674294,1077000000.0,189335000000.0,0.005688330208360842,52.0,5.0
BPMC,,,,,,,,,,,,,,,,,
BRK.B,397383008256.0,128885997568.0,268497010688.0,2.876,2.7,17.669,61228249088.0,1398308677.0,1438223.0,1459733.0,971.247472749358,956.92085059391,,410522000000.0,,85.0,90.0
BRKR,298800000.0,2042899968.0,-1744099968.0,1.73,0.809,81.381,216962496.0,152223137.0,151677952.0,147023144.0,0.0035943589217238376,0.035368533541902766,20200000.0,3436500000.0,0.005878073621417139,62.0,18.3
BRKS,,,,,,,,,,,,,,,,,
BSV,,,,,,,,,,,,,,,,,
BSX,1452999936.0,11029000192.0,-9576000256.0,1.9,0.98,42.25,2807124992.0,1486355179.0,1474556348.0,1433344145.0,0.008001614191280806,0.03698416335317713,299000000.0,20074000000.0,0.014894888911029192,62.0,23.3
BTAI,28415000.0,109659000.0,-81244000.0,0.829,0.531,,-39345876.0,27074586.0,3102423.0,1759187.0,7.726916348931142,14.390396813982823,2767000.0,642000.0,4.309968847352025,33.8,90.0
BTG,385292000.0,598310016.0,-213018016.0,1.064,0.439,16.43,596057984.0,1335911553.0,1318040605.0,1074694856.0,0.013558723405186747,0.2430612704077184,22935000.0,3061238000.0,0.00749206693501126,52.0,43.3
BTI,3843000064.0,35070001152.0,-31227001088.0,0.873,0.559,72.842,2993750016.0,2163804296.0,2202445277.0,2229946590.0,-0.01754458165363988,-0.029660931923934555,,25610000000.0,,45.0,5.0
BUG,,,,,,,,,,,,,,,,,
BULL,2190308096.0,77523016.0,2112785080.0,1.265,1.251,7.627,,447959660.0,459363005.0,459363005.0,-0.02482425636343963,-0.02482425636343963,43872899.0,570996806.0,0.07683562944483441,67.5,26.7
BUSE,302187008.0,626729024.0,-324542016.0,,,,,85420902.0,56895981.0,55279124.0,0.5013521253812286,0.5452651167192881,17120000.0,719584000.0,0.023791523991639613,40.0,66.7
BX,2448485120.0,14161851392.0,-11713366272.0,1.018,0.991,66.125,,742180737.0,768722241.0,742653758.0,-0.034526780395313164,-0.000636933422748532,,12410012000.0,,47.5,5.0
BXSL,289604992.0,8080129024.0,-7790524032.0,1.313,1.253,129.382,471121760.0,232279811.0,221892184.0,160362861.0,0.046813848116434784,0.4484638746872943,,607894000.0,,62.0,77.5
BYDD,,,,,,,,,,,,,,,,,
BZAI,45781000.0,2948000.0,42833000.0,2.227,1.911,7.559,-44484752.0,122797927.0,101588967.0,101588967.0,0.20877227740685658,0.20877227740685658,37546000.0,38632000.0,0.9718885897701387,72.0,90.0
C,1332288946176.0,749207027712.0,583081918464.0,,,,,1705600000.0,1877071466.0,1936986425.0,-0.09135052612855604,-0.11945691617327675,,85213000000.0,,100.0,5.0
CAE,463700000.0,3246000128.0,-2782300128.0,0.914,0.646,61.829,484350016.0,321805263.0,318312233.0,317024123.0,0.010973596481288862,0.015081312913213232,25200000.0,4707900000.0,0.005352705027719365,45.0,18.3
CAG,55100000.0,7332400128.0,-7277300128.0,0.901,0.253,89.813,654675008.0,478437156.0,478169096.0,480062060.0,0.0005605966639048543,-0.0033847790429429063,41500000.0,11612800000.0,0.003573642876825572,45.0,8.3
CAH,3936999936.0,8915999744.0,-4978999808.0,0.907,0.419,,4849999872.0,234205855.0,244000000.0,273000000.0,-0.04013993852459016,-0.14210309523809525,244000000.0,222578000000.0,0.0010962449118960545,50.0,5.0
CAI,798569024.0,427686016.0,370883008.0,7.848,7.163,74.083,53502500.0,282662545.0,277932779.0,277932779.0,0.017017661669910478,0.017017661669910478,70006000.0,812033000.0,0.08621078207412752,85.0,40.0
CALX,243288992.0,14716000.0,228572992.0,3.29,2.017,1.994,100548872.0,63782299.0,66434000.0,65735000.0,-0.039914817713821237,-0.029705651479424965,87929000.0,1000010000.0,0.08792812071879282,85.0,26.7
CAPR,318128928.0,14522765.0,303606163.0,9.011,8.879,4.749,-39600748.0,57840102.0,45582288.0,25241402.0,0.2689161632255055,1.291477390994367,17225260.0,0.0,,72.0,90.0
CAT,3316000000.0,43065999360.0,-39749999360.0,1.353,0.723,230.793,3744499968.0,460591983.0,477932024.0,516345490.0,-0.03628139595014876,-0.10797713561902128,,67589000000.0,,52.0,5.0
CB,7497999872.0,25138999296.0,-17640999424.0,0.386,0.186,31.458,12622624768.0,387860106.0,400703663.0,414594856.0,-0.032052507091755736,-0.06448403691723566,,59783000000.0,,45.0,5.0
CC,670000000.0,4393999872.0,-3723999872.0,1.78,0.8,1750.598,21500000.0,150111263.0,149428431.0,148504030.0,0.004569625709313644,0.010822824134806308,21000000.0,5808000000.0,0.003615702479338843,62.0,11.7
CCJ,1214462976.0,1012958016.0,201504960.0,2.466,1.511,14.673,479940384.0,435532978.0,435312083.0,432518470.0,0.0005074405435238057,0.006969663052770902,9656000.0,3481933000.0,0.0027731722580532137,85.0,11.7
CCNE,602460032.0,269569984.0,332890048.0,,,,,29631056.0,20987992.0,21007189.0,0.4118099530436261,0.41051979872223743,2669000.0,277018000.0,0.009634752976340888,100.0,61.7
CDNS,1546153984.0,3083354112.0,-1537200128.0,1.471,1.211,46.992,1499152256.0,275816000.0,273851000.0,272675000.0,0.007175434816743411,0.0115192078481709,455175000.0,5296759000.0,0.08593462530577661,62.0,33.3
CDXS,78209000.0,73208000.0,5001000.0,3.824,3.511,144.883,-5074125.0,90896567.0,81850000.0,65811318.0,0.11052616982284667,0.381169223810409,9624000.0,70387000.0,0.1367297938539787,72.0,90.0
CDZI,8599000.0,104209000.0,-95610000.0,1.217,1.078,448.095,-20918000.0,83701286.0,75353889.0,55823810.0,0.11077592823377702,0.49938325599775435,5299000.0,16313000.0,0.3248329553117146,49.0,90.0
CE,1263000064.0,12933999616.0,-11670999552.0,1.546,0.741,289.222,368624992.0,111922758.0,109327556.0,108473932.0,0.023737858001691724,0.03179405352430665,24000000.0,9544000000.0,0.002514668901927913,56.0,25.0
CEG,3640999936.0,9496999936.0,-5856000000.0,1.526,1.095,63.94,1258000000.0,362294672.0,312838000.0,327000000.0,0.15809035986676812,0.10793477675840979,,25533000000.0,,66.0,77.5
CELH,398865984.0,695142016.0,-296276032.0,1.679,1.07,23.633,78625752.0,256896075.0,235013960.0,229146000.0,0.09310985185731094,0.12110215757639234,28050000.0,2515269000.0,0.011151888724426691,66.0,58.3
CEVA,221983008.0,16131000.0,205852008.0,9.93,9.46,4.794,2905750.0,27859369.0,23626865.0,23215439.0,0.17913946687383198,0.2000362775823451,19796000.0,109598000.0,0.1806237340097447,85.0,90.0
CFLT,2053971968.0,1105371008.0,948600960.0,3.83,3.592,94.546,210338752.0,310285561.0,332885346.0,289384180.0,-0.06789059738304011,0.07222710308490257,397325000.0,1166748000.0,0.3405405451734222,85.0,43.3
CGNX,336961984.0,76586000.0,260375984.0,3.799,2.749,5.133,190512752.0,167013856.0,170434000.0,172631000.0,-0.020067263574169474,-0.0325384432691695,48517000.0,994359000.0,0.048792237008967586,85.0,18.3
CHD,503400000.0,2377400064.0,-1874000064.0,1.217,0.764,56.794,1128824960.0,236943602.0,245879841.0,243895876.0,-0.036343927032228725,-0.02850509042637523,58000000.0,6203200000.0,0.009350012896569513,58.0,5.0
CHPT,141564000.0,276428992.0,-134864992.0,1.205,0.594,1297.85,23362250.0,24416236.0,22805114.0,17416524.0,0.07064739952626416,0.40190063183675456,64694000.0,411224000.0,0.1573205844016886,52.0,90.0
CHPX,,,,,,,,,,,,,,,,,
CHRD,189531008.0,1510419968.0,-1320888960.0,1.06,0.9,18.693,622480256.0,56686101.0,60070893.0,41477093.0,-0.05634662364683009,0.36668452150202524,25703000.0,4877126000.0,0.005270111947077029,58.0,33.3
CHTR,517000000.0,96822001664.0,-96305001664.0,0.401,0.325,459.525,2403624960.0,141178369.0,141946427.0,152651397.0,-0.005410900550529531,-0.07515835574043256,673000000.0,54774000000.0,0.012286851425858985,45.0,10.0
CHWY,878800000.0,556800000.0,322000000.0,0.885,0.479,111.83,453062496.0,240198735.0,413591436.0,425348887.0,-0.419236681196658,-0.43529008223312926,297900000.0,12601500000.0,0.023640042852041424,57.0,10.0
CI,7852000256.0,30900000768.0,-23048000512.0,0.818,0.657,72.805,6923375104.0,264532404.0,273789000.0,298676000.0,-0.033809232657265265,-0.1143165035021227,,274876000000.0,,45.0,5.0
CIEN,1299728000.0,1589719040.0,-289991040.0,2.814,1.918,56.931,699300736.0,141398427.0,142656116.0,148412943.0,-0.008816229091783208,-0.04726350585204688,184525000.0,4769507000.0,0.038688484994361054,73.0,18.3
CL,1419000064.0,7973000192.0,-6554000128.0,1.025,0.557,1640.535,3319500032.0,800189310.0,812574698.0,830212606.0,-0.015242153158945641,-0.03616338246735801,155000000.0,20382000000.0,0.0076047492885879696,52.0,5.0
CLF,45000000.0,7784000000.0,-7739000000.0,2.019,0.58,129.324,-60500000.0,570414657.0,493948905.0,513340779.0,0.15480498332109877,0.11118126658704432,,18610000000.0,,46.0,77.5
CLMB,41775000.0,1785000.0,39990000.0,1.101,1.055,1.507,19610124.0,18597200.0,18405208.0,17913728.0,0.010431395287681618,0.03815353230773628,4775000.0,652517000.0,0.007317817007066483,74.0,25.0
