ticker,cash,totalDebt,netCash,currentRatio,quickRatio,debtToEquity,freeCashFlow,sharesOutCurrent,sharesOut1Y,sharesOut3Y,shareCountGrowth1Y,shareCountGrowth3Y,stockBasedComp,revenue,sbcToRevenue,balanceSheetRiskScore,dilutionRiskScore
VYMI,,,,,,,,,,,,,,,,,
VZ,8400999936.0,200921006080.0,-192520006144.0,0.64,0.508,192.045,19608500224.0,4176000000.0,4209680158.0,4199861388.0,-0.008000645354492035,-0.005681470361897572,,138191000000.0,,45.0,5.0
WATT,10401000.0,1168000.0,9233000.0,4.192,3.663,9.345,-8926375.0,5501099.0,452530.0,131574.0,11.156318918082778,40.80992445315944,281000.0,5630000.0,0.04991119005328597,72.0,75.0
WB,2405080064.0,1905942016.0,499138048.0,3.388,2.694,47.559,375088384.0,157850548.0,244271505.0,234186394.0,-0.35379057823383864,-0.3259619173264182,42067000.0,1757216000.0,0.023939572596652886,85.0,10.0
WEAT,,,,,,,,,,,,,,,,,
WELL,4703775232.0,19987095552.0,-15283320320.0,1.646,1.237,44.486,2600212736.0,705914450.0,635289329.0,490508937.0,0.11117000990898117,0.4391469690999738,1556732000.0,10667136000.0,0.14593720376303443,66.0,90.0
WFC,461199998976.0,469223997440.0,-8023998464.0,,,,,3060189494.0,3288943829.0,3833804452.0,-0.06955252108077277,-0.20178779791348628,,83699000000.0,,40.0,5.0
WLK,2928000000.0,6409999872.0,-3481999872.0,2.244,1.6,68.962,62250000.0,128083490.0,128227014.0,127372729.0,-0.0011192961258537923,0.005580166222237414,41000000.0,11170000000.0,0.0036705461056401076,73.0,8.3
WLKP,44269000.0,399673984.0,-355404984.0,2.797,2.735,49.813,314187744.0,35245879.0,35238556.0,35221868.0,0.00020781214758062164,0.0006817071712380501,,1166695000.0,,73.0,15.0
WM,158000000.0,22890999808.0,-22732999808.0,0.934,0.801,228.408,2136749952.0,401575752.0,401494177.0,407886295.0,0.00020317853825312142,-0.0154713288417793,169000000.0,25204000000.0,0.006705284875416601,51.0,8.3
WMB,63000000.0,29543999488.0,-29480999488.0,0.531,0.297,197.026,-353500000.0,1222998265.0,1219011798.0,1218000000.0,0.0032702448052926883,0.004103665845648604,93000000.0,11950000000.0,0.007782426778242678,32.0,11.7
WMT,10727000064.0,68425998336.0,-57698998272.0,0.79,0.204,64.443,10554250240.0,7970990515.0,8024000000.0,8100000000.0,-0.006606366525423729,-0.015927096913580248,,713163000000.0,,45.0,5.0
WOLF,1292300032.0,2072800000.0,-780499968.0,6.505,5.083,330.379,-856049984.0,48338641.0,,,,,,,,60.0,
WPP,2694000128.0,6832000000.0,-4137999872.0,0.888,0.874,246.465,-63250000.0,215704907.0,1078762589.0,1069725369.0,-0.8000441346413804,-0.7983548738293034,73000000.0,13550000000.0,0.005387453874538746,38.0,5.0
WSM,1019801024.0,1456904960.0,-437103936.0,1.388,0.587,69.957,867585280.0,119016049.0,123125000.0,132452000.0,-0.033372190862944164,-0.101440151904086,106522000.0,7806816000.0,0.01364474326024848,52.0,10.0
WULF,3266388992.0,5195725824.0,-1929336832.0,2.004,1.884,3699.474,-113667752.0,492634856.0,385654278.0,145492971.0,0.2774002107659752,2.385970144220919,50909000.0,168455000.0,0.30221127304027784,60.0,90.0
