date,jobs_terrible_score,jobs_terrible_score_ema5,jobs_terrible_pct_rank,high_cpi_score,high_cpi_score_ema5,high_cpi_pct_rank,corporate_tax_score,corporate_tax_score_ema5,corporate_tax_pct_rank,ai_margin_compression_score,ai_margin_compression_score_ema5,ai_margin_compression_pct_rank,credit_crisis_score,credit_crisis_score_ema5,credit_crisis_pct_rank,geopolitical_disaster_score,geopolitical_disaster_score_ema5,geopolitical_disaster_pct_rank,liquidity_crash_score,liquidity_crash_score_ema5,liquidity_crash_pct_rank
2024-01-02,1.1109643980620072,0.5764394882963937,0.9296875,0.9687016983140185,0.4282796085070385,0.7734375,-0.7422192059598052,0.021205678716211068,0.078125,-0.13335080462943338,0.12375879052572178,0.4140625,-0.005147946747358967,0.08657643046128086,0.46875,0.16899778369542895,0.03284188918575967,0.5703125,0.30741211857552464,0.16729153783985962,0.65625
2024-01-03,1.3058361245385748,0.8195717003771208,0.9534883720930233,0.6170741738891763,0.49121113030108443,0.689922480620155,0.7104031742385257,0.2509381772236493,0.8914728682170543,0.47353325815773806,0.2403502797363939,0.7751937984496124,1.2327943886490749,0.46864908319054555,0.9767441860465116,0.8611321324377703,0.30893863693642987,0.8062015503875969,1.113908163134619,0.48283041293811274,0.9457364341085271
2024-01-04,-0.3646277970341125,0.42483853457337645,0.2846153846153846,1.56792770799421,0.850116656198793,0.8692307692307693,0.26734128466328955,0.2564058797035294,0.6384615384615384,-0.3128717705779143,0.05594292963162452,0.3153846153846154,-0.4682110910796379,0.15636235843381777,0.19230769230769232,0.5431768582037272,0.387018044025529,0.7230769230769231,-0.24986725697774648,0.23859785629949304,0.2923076923076923
2024-01-05,-0.5331802320369711,0.10549894570326063,0.21374045801526717,1.3704042906881437,1.0235458676952431,0.8320610687022901,0.07915099948291468,0.19732091962999118,0.48854961832061067,0.5752636356715233,0.2290498316449241,0.8320610687022901,-0.6258438925312378,-0.10437305855453408,0.11450381679389313,0.1579654286825995,0.3106671722445525,0.5572519083969466,-0.5084167244321278,-0.010407003944380572,0.20610687022900764
2024-01-08,-0.4827052632310902,-0.09056912394152296,0.23484848484848486,-1.3204163950462404,0.24222511344808206,0.20454545454545456,-0.44932546902364157,-0.018227876587886382,0.1893939393939394,0.2139913495019521,0.22403033759726676,0.6363636363636364,-0.307641843511342,-0.17212932020680338,0.30303030303030304,-2.7090075529298323,-0.6958910694802425,0.007575757575757576,-0.7867284532061691,-0.26918082036497676,0.11363636363636363
2024-01-09,0.31189500308483614,0.0435855850672634,0.6240601503759399,0.8260728963539883,0.4368410410833842,0.7368421052631579,-0.7663561172100566,-0.26760395679527643,0.06015037593984962,0.15208217132404914,0.2000476155061942,0.5939849624060151,-0.05327145050364329,-0.13251003030575004,0.42105263157894735,0.23745200734233782,-0.38477671053938245,0.6090225563909775,-0.14888983211108286,-0.22908382428034546,0.37593984962406013
2024-01-10,-0.7098593951349097,-0.20756274166679428,0.15671641791044777,0.7179348433126604,0.5305389751598096,0.7164179104477612,0.21232818031076867,-0.1076265777599281,0.6044776119402985,-0.907129315674083,-0.16901136155389815,0.06716417910447761,-0.29940008036975807,-0.18814004699375272,0.31343283582089554,-0.6259042051225236,-0.4651525420670962,0.2835820895522388,-0.504126806932402,-0.32076481849769767,0.22388059701492538
2024-01-11,0.4920807998678769,0.025651772178096083,0.7037037037037037,0.5157903542341695,0.5256227681845963,0.6518518518518519,0.36856173152223987,0.05110285866746121,0.7407407407407407,0.14054928297427197,-0.06582448004450812,0.5925925925925926,0.6367559103534479,0.0868252721219808,0.8814814814814815,0.39060780594089617,-0.17989909273109883,0.6888888888888889,0.4684236765898836,-0.0577019868018373,0.762962962962963
2024-01-12,0.6406456682246755,0.23064973752695586,0.8014705882352942,1.282998068536162,0.7780812016351182,0.8235294117647058,0.46113801349995,0.18778124361162413,0.7794117647058824,-0.3936962112839246,-0.1751150571243136,0.27941176470588236,0.5198543208368847,0.23116828836028208,0.7941176470588235,0.8150228053300995,0.1517415399559673,0.7941176470588235,0.3104807510291956,0.06502559247517364,0.6617647058823529
2024-01-16,-0.6548043183460022,-0.06450161443069677,0.1678832116788321,2.0131088024194415,1.189757068563226,0.9124087591240876,-1.5152065334125995,-0.37988134872978363,0.0072992700729927005,1.3592829956800958,0.3363509604771562,0.9781021897810219,-0.14124721703445475,0.10702978656203649,0.40145985401459855,-0.5315680929671632,-0.0760283376850762,0.3284671532846715,-0.2040666305724672,-0.0246718152073733,0.3357664233576642
